strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,identifier,class
WT,0.0,0.03255555555555556,1,glucose,2021-07-22,GC001,WT
WT,0.12555555555555564,0.03644444444444446,1,glucose,2021-07-22,GC001,WT
WT,0.2511111111111113,0.04051851851851852,1,glucose,2021-07-22,GC001,WT
WT,0.3766666666666665,0.045481481481481484,1,glucose,2021-07-22,GC001,WT
WT,0.5022222222222221,0.05162962962962962,1,glucose,2021-07-22,GC001,WT
WT,0.6277777777777778,0.05844444444444445,1,glucose,2021-07-22,GC001,WT
WT,0.7533333333333334,0.06644444444444443,1,glucose,2021-07-22,GC001,WT
WT,0.878888888888889,0.07648148148148148,1,glucose,2021-07-22,GC001,WT
WT,1.0044444444444447,0.08644444444444445,1,glucose,2021-07-22,GC001,WT
WT,1.13,0.1014074074074074,1,glucose,2021-07-22,GC001,WT
WT,1.2555555555555555,0.11248148148148147,1,glucose,2021-07-22,GC001,WT
WT,1.3811111111111112,0.12951851851851853,1,glucose,2021-07-22,GC001,WT
WT,1.5066666666666668,0.1494814814814815,1,glucose,2021-07-22,GC001,WT
WT,1.6322222222222225,0.17148148148148148,1,glucose,2021-07-22,GC001,WT
WT,1.7577777777777777,0.1954814814814815,1,glucose,2021-07-22,GC001,WT
WT,1.8833333333333333,0.22455555555555556,1,glucose,2021-07-22,GC001,WT
WT,2.008888888888889,0.25751851851851854,1,glucose,2021-07-22,GC001,WT
WT,2.1344444444444446,0.29144444444444445,1,glucose,2021-07-22,GC001,WT
WT,2.2600000000000002,0.3305185185185185,1,glucose,2021-07-22,GC001,WT
WT,0.0,0.03255555555555556,2,glucose,2021-07-22,GC001,WT
WT,0.12555555555555564,0.03644444444444446,2,glucose,2021-07-22,GC001,WT
WT,0.2511111111111113,0.04051851851851852,2,glucose,2021-07-22,GC001,WT
WT,0.3766666666666665,0.045481481481481484,2,glucose,2021-07-22,GC001,WT
WT,0.5022222222222221,0.05262962962962962,2,glucose,2021-07-22,GC001,WT
WT,0.6277777777777778,0.05844444444444445,2,glucose,2021-07-22,GC001,WT
WT,0.7533333333333334,0.06644444444444443,2,glucose,2021-07-22,GC001,WT
WT,0.878888888888889,0.07648148148148148,2,glucose,2021-07-22,GC001,WT
WT,1.0044444444444447,0.08644444444444445,2,glucose,2021-07-22,GC001,WT
WT,1.13,0.0994074074074074,2,glucose,2021-07-22,GC001,WT
WT,1.2555555555555555,0.11448148148148148,2,glucose,2021-07-22,GC001,WT
WT,1.3811111111111112,0.13051851851851853,2,glucose,2021-07-22,GC001,WT
WT,1.5066666666666668,0.1494814814814815,2,glucose,2021-07-22,GC001,WT
WT,1.6322222222222225,0.17148148148148148,2,glucose,2021-07-22,GC001,WT
WT,1.7577777777777777,0.1964814814814815,2,glucose,2021-07-22,GC001,WT
WT,1.8833333333333333,0.22355555555555556,2,glucose,2021-07-22,GC001,WT
WT,2.008888888888889,0.25651851851851853,2,glucose,2021-07-22,GC001,WT
WT,2.1344444444444446,0.29044444444444445,2,glucose,2021-07-22,GC001,WT
WT,2.2600000000000002,0.3285185185185185,2,glucose,2021-07-22,GC001,WT
WT,0.0,0.030555555555555558,3,glucose,2021-07-22,GC001,WT
WT,0.12555555555555564,0.03344444444444446,3,glucose,2021-07-22,GC001,WT
WT,0.2511111111111113,0.037518518518518534,3,glucose,2021-07-22,GC001,WT
WT,0.3766666666666665,0.04248148148148148,3,glucose,2021-07-22,GC001,WT
WT,0.5022222222222221,0.04962962962962962,3,glucose,2021-07-22,GC001,WT
WT,0.6277777777777778,0.05544444444444445,3,glucose,2021-07-22,GC001,WT
WT,0.7533333333333334,0.06344444444444443,3,glucose,2021-07-22,GC001,WT
WT,0.878888888888889,0.07248148148148148,3,glucose,2021-07-22,GC001,WT
WT,1.0044444444444447,0.08244444444444445,3,glucose,2021-07-22,GC001,WT
WT,1.13,0.0954074074074074,3,glucose,2021-07-22,GC001,WT
WT,1.2555555555555555,0.11048148148148147,3,glucose,2021-07-22,GC001,WT
WT,1.3811111111111112,0.12651851851851853,3,glucose,2021-07-22,GC001,WT
WT,1.5066666666666668,0.1464814814814815,3,glucose,2021-07-22,GC001,WT
WT,1.6322222222222225,0.16748148148148148,3,glucose,2021-07-22,GC001,WT
WT,1.7577777777777777,0.1924814814814815,3,glucose,2021-07-22,GC001,WT
WT,1.8833333333333333,0.22055555555555556,3,glucose,2021-07-22,GC001,WT
WT,2.008888888888889,0.25151851851851853,3,glucose,2021-07-22,GC001,WT
WT,2.1344444444444446,0.28744444444444445,3,glucose,2021-07-22,GC001,WT
WT,2.2600000000000002,0.32551851851851854,3,glucose,2021-07-22,GC001,WT
∆dpp,0.0,0.03351851851851853,1,glucose,2021-07-22,GC048,Single KO
∆dpp,0.12555555555555564,0.03748148148148149,1,glucose,2021-07-22,GC048,Single KO
∆dpp,0.2511111111111113,0.04348148148148148,1,glucose,2021-07-22,GC048,Single KO
∆dpp,0.3766666666666665,0.05048148148148149,1,glucose,2021-07-22,GC048,Single KO
∆dpp,0.5022222222222221,0.05955555555555557,1,glucose,2021-07-22,GC048,Single KO
∆dpp,0.6277777777777778,0.06851851851851852,1,glucose,2021-07-22,GC048,Single KO
∆dpp,0.7533333333333334,0.08144444444444446,1,glucose,2021-07-22,GC048,Single KO
