well,od_600nm,identifier,replicate,growth_medium,date,elapsed_time_hr,avg_blank_value,strain,class
F9,0.086,GC001,1,glucose,2021-07-23,0.0,0.07937037037037037,WT,WT
F9,0.086,GC001,1,glucose,2021-07-23,0.12555555555555556,0.07922222222222224,WT,WT
F9,0.087,GC001,1,glucose,2021-07-23,0.2511111111111111,0.0792962962962963,WT,WT
F9,0.087,GC001,1,glucose,2021-07-23,0.37666666666666665,0.07940740740740741,WT,WT
F9,0.088,GC001,1,glucose,2021-07-23,0.5022222222222222,0.07940740740740741,WT,WT
F9,0.088,GC001,1,glucose,2021-07-23,0.6277777777777778,0.07933333333333333,WT,WT
F9,0.089,GC001,1,glucose,2021-07-23,0.7533333333333333,0.07940740740740741,WT,WT
F9,0.09,GC001,1,glucose,2021-07-23,0.8788888888888889,0.07962962962962962,WT,WT
F9,0.09,GC001,1,glucose,2021-07-23,1.0044444444444445,0.07940740740740741,WT,WT
F9,0.091,GC001,1,glucose,2021-07-23,1.13,0.07948148148148147,WT,WT
F9,0.092,GC001,1,glucose,2021-07-23,1.2555555555555555,0.07951851851851852,WT,WT
F9,0.093,GC001,1,glucose,2021-07-23,1.3811111111111112,0.07951851851851852,WT,WT
F9,0.094,GC001,1,glucose,2021-07-23,1.5066666666666666,0.07951851851851852,WT,WT
F9,0.096,GC001,1,glucose,2021-07-23,1.6322222222222222,0.07959259259259259,WT,WT
F9,0.098,GC001,1,glucose,2021-07-23,1.7577777777777779,0.07944444444444444,WT,WT
F9,0.099,GC001,1,glucose,2021-07-23,1.8833333333333333,0.07951851851851852,WT,WT
F9,0.101,GC001,1,glucose,2021-07-23,2.008888888888889,0.07955555555555555,WT,WT
F9,0.104,GC001,1,glucose,2021-07-23,2.1344444444444446,0.07955555555555555,WT,WT
F9,0.106,GC001,1,glucose,2021-07-23,2.26,0.07951851851851852,WT,WT
F9,0.109,GC001,1,glucose,2021-07-23,2.3855555555555554,0.07951851851851852,WT,WT
F9,0.113,GC001,1,glucose,2021-07-23,2.511111111111111,0.07951851851851852,WT,WT
F9,0.117,GC001,1,glucose,2021-07-23,2.6366666666666667,0.07951851851851852,WT,WT
F9,0.122,GC001,1,glucose,2021-07-23,2.7622222222222224,0.07937037037037037,WT,WT
F9,0.128,GC001,1,glucose,2021-07-23,2.887777777777778,0.07948148148148147,WT,WT
F9,0.135,GC001,1,glucose,2021-07-23,3.013333333333333,0.07937037037037037,WT,WT
F9,0.144,GC001,1,glucose,2021-07-23,3.138888888888889,0.07948148148148147,WT,WT
F9,0.154,GC001,1,glucose,2021-07-23,3.2644444444444445,0.07944444444444444,WT,WT
F9,0.165,GC001,1,glucose,2021-07-23,3.39,0.0794074074074074,WT,WT
F9,0.178,GC001,1,glucose,2021-07-23,3.5155555555555558,0.07955555555555555,WT,WT
F9,0.19,GC001,1,glucose,2021-07-23,3.641111111111111,0.07948148148148147,WT,WT
F9,0.207,GC001,1,glucose,2021-07-23,3.7666666666666666,0.07948148148148147,WT,WT
F9,0.226,GC001,1,glucose,2021-07-23,3.8922222222222222,0.07959259259259259,WT,WT
F9,0.247,GC001,1,glucose,2021-07-23,4.017777777777778,0.07955555555555555,WT,WT
F9,0.272,GC001,1,glucose,2021-07-23,4.1433333333333335,0.0794074074074074,WT,WT
F9,0.3,GC001,1,glucose,2021-07-23,4.268888888888889,0.07951851851851852,WT,WT
F9,0.332,GC001,1,glucose,2021-07-23,4.394444444444445,0.07948148148148147,WT,WT
F9,0.366,GC001,1,glucose,2021-07-23,4.52,0.07959259259259259,WT,WT
F9,0.404,GC001,1,glucose,2021-07-23,4.645555555555555,0.07959259259259258,WT,WT
F9,0.445,GC001,1,glucose,2021-07-23,4.771111111111111,0.07948148148148147,WT,WT
F9,0.487,GC001,1,glucose,2021-07-23,4.8966666666666665,0.07948148148148147,WT,WT
F9,0.53,GC001,1,glucose,2021-07-23,5.022222222222222,0.07948148148148147,WT,WT
F9,0.568,GC001,1,glucose,2021-07-23,5.147777777777778,0.07951851851851852,WT,WT
F9,0.605,GC001,1,glucose,2021-07-23,5.273333333333333,0.07959259259259258,WT,WT
F9,0.64,GC001,1,glucose,2021-07-23,5.398888888888889,0.07955555555555555,WT,WT
F9,0.674,GC001,1,glucose,2021-07-23,5.524444444444445,0.07951851851851852,WT,WT
F9,0.704,GC001,1,glucose,2021-07-23,5.65,0.07948148148148147,WT,WT
F9,0.715,GC001,1,glucose,2021-07-23,5.775555555555556,0.07955555555555555,WT,WT
F9,0.726,GC001,1,glucose,2021-07-23,5.901111111111111,0.07951851851851852,WT,WT
F9,0.73,GC001,1,glucose,2021-07-23,6.026666666666666,0.0796296296296296,WT,WT
F9,0.732,GC001,1,glucose,2021-07-23,6.152222222222222,0.07951851851851852,WT,WT
F9,0.733,GC001,1,glucose,2021-07-23,6.277777777777778,0.07951851851851852,WT,WT
F9,0.735,GC001,1,glucose,2021-07-23,6.403333333333333,0.07955555555555555,WT,WT
F9,0.732,GC001,1,glucose,2021-07-23,6.528888888888889,0.07948148148148147,WT,WT
F9,0.73,GC001,1,glucose,2021-07-23,6.654444444444445,0.07951851851851852,WT,WT
F9,0.728,GC001,1,glucose,2021-07-23,6.78,0.07948148148148147,WT,WT
F9,0.726,GC001,1,glucose,2021-07-23,6.905555555555556,0.07959259259259259,WT,WT
F9,0.724,GC001,1,glucose,2021-07-23,7.0311111111111115,0.07955555555555555,WT,WT
