well,od_600nm,strain,water_source,micronutrients,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value
C3,0.084,WT,CCSR,True,1,acetate,2021-08-06,1,0.0,0.07896428571428572
C4,0.085,WT,CCSR,True,2,acetate,2021-08-06,1,0.0,0.07896428571428572
C5,0.084,WT,CCSR,True,3,acetate,2021-08-06,1,0.0,0.07896428571428572
C6,0.082,WT,CCSR,True,4,acetate,2021-08-06,1,0.0,0.07896428571428572
C7,0.082,WT,MQ-,True,1,acetate,2021-08-06,1,0.0,0.07896428571428572
C8,0.082,WT,MQ-,True,2,acetate,2021-08-06,1,0.0,0.07896428571428572
C9,0.084,WT,MQ-,True,3,acetate,2021-08-06,1,0.0,0.07896428571428572
C10,0.082,WT,MQ-,True,4,acetate,2021-08-06,1,0.0,0.07896428571428572
D3,0.084,WT,CCSR,False,1,acetate,2021-08-06,1,0.0,0.07896428571428572
D4,0.083,WT,CCSR,False,2,acetate,2021-08-06,1,0.0,0.07896428571428572
D5,0.083,WT,CCSR,False,3,acetate,2021-08-06,1,0.0,0.07896428571428572
D6,0.084,WT,CCSR,False,4,acetate,2021-08-06,1,0.0,0.07896428571428572
D7,0.087,WT,MQ-,False,1,acetate,2021-08-06,1,0.0,0.07896428571428572
D8,0.086,WT,MQ-,False,2,acetate,2021-08-06,1,0.0,0.07896428571428572
D9,0.084,WT,MQ-,False,3,acetate,2021-08-06,1,0.0,0.07896428571428572
D10,0.086,WT,MQ-,False,4,acetate,2021-08-06,1,0.0,0.07896428571428572
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.0,0.07896428571428572
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.0,0.07896428571428572
E5,0.083,WT,MQ+,True,3,acetate,2021-08-06,1,0.0,0.07896428571428572
E6,0.082,WT,MQ+,True,4,acetate,2021-08-06,1,0.0,0.07896428571428572
E7,0.082,WT,Carboy,True,1,acetate,2021-08-06,1,0.0,0.07896428571428572
E8,0.083,WT,Carboy,True,2,acetate,2021-08-06,1,0.0,0.07896428571428572
E9,0.084,WT,Carboy,True,3,acetate,2021-08-06,1,0.0,0.07896428571428572
E10,0.083,WT,Carboy,True,4,acetate,2021-08-06,1,0.0,0.07896428571428572
F3,0.087,WT,MQ+,False,1,acetate,2021-08-06,1,0.0,0.07896428571428572
F4,0.087,WT,MQ+,False,2,acetate,2021-08-06,1,0.0,0.07896428571428572
F5,0.087,WT,MQ+,False,3,acetate,2021-08-06,1,0.0,0.07896428571428572
F6,0.087,WT,MQ+,False,4,acetate,2021-08-06,1,0.0,0.07896428571428572
F7,0.088,WT,Carboy,False,1,acetate,2021-08-06,1,0.0,0.07896428571428572
F8,0.085,WT,Carboy,False,2,acetate,2021-08-06,1,0.0,0.07896428571428572
F9,0.086,WT,Carboy,False,3,acetate,2021-08-06,1,0.0,0.07896428571428572
F10,0.087,WT,Carboy,False,4,acetate,2021-08-06,1,0.0,0.07896428571428572
