strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
∆his ∆dpp,0.0,0.030888888888888882,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.12555555555555553,0.030814814814814823,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.25111111111111095,0.03185185185185185,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.3766666666666666,0.031814814814814824,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.5022222222222222,0.032851851851851854,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.6277777777777777,0.03259259259259259,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.7533333333333333,0.03392592592592594,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.8788888888888889,0.03474074074074075,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.0044444444444443,0.03474074074074074,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.13,0.03585185185185186,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.2555555555555555,0.03574074074074074,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.3811111111111107,0.04277777777777779,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.5066666666666664,0.03770370370370371,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.632222222222222,0.03874074074074073,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.7577777777777777,0.038814814814814816,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.8833333333333333,0.03974074074074073,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.008888888888889,0.04062962962962961,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.134444444444444,0.0417037037037037,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.26,0.041666666666666644,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.3855555555555554,0.0427037037037037,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.511111111111111,0.04381481481481482,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.6366666666666667,0.043666666666666645,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.762222222222222,0.0445185185185185,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,2.8877777777777776,0.04559259259259259,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.013333333333333,0.04659259259259259,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.138888888888889,0.046703703703703706,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.2644444444444445,0.04759259259259259,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.39,0.04866666666666668,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.5155555555555558,0.04955555555555555,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.6411111111111105,0.04977777777777777,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.766666666666666,0.05166666666666665,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,3.892222222222222,0.05162962962962962,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.017777777777778,0.05262962962962962,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.1433333333333335,0.053592592592592594,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.268888888888889,0.054592592592592595,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.394444444444445,0.054555555555555565,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.5200000000000005,0.055555555555555566,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.645555555555556,0.05655555555555557,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.771111111111112,0.05662962962962963,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,4.896666666666667,0.05755555555555557,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.022222222222222,0.05737037037037036,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.147777777777778,0.05855555555555557,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.273333333333333,0.059370370370370365,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.398888888888889,0.059555555555555556,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.524444444444445,0.06044444444444445,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.65,0.0614074074074074,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.775555555555556,0.06133333333333331,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,5.901111111111112,0.0614074074074074,1,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.0,0.030851851851851853,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.12555555555555542,0.030592592592592588,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.25111111111111106,0.03192592592592594,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.3766666666666667,0.03274074074074075,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.5022222222222221,0.03274074074074074,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.6277777777777778,0.033851851851851855,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.7533333333333334,0.03374074074074074,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,0.8788888888888886,0.034777777777777796,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.0044444444444443,0.03570370370370371,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.13,0.03574074074074074,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.2555555555555555,0.03681481481481483,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.3811111111111112,0.03774074074074074,2,acetate,2021-08-21,1,GC081,Double KO
∆his ∆dpp,1.5066666666666668,0.037629629629629624,2,acetate,2021-08-21,1,GC081,Double KO
