strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.031222222222222207,1,acetate,2021-08-30,1,GC001,WT
WT,0.12555555555555564,0.033370370370370384,1,acetate,2021-08-30,1,GC001,WT
WT,0.2511111111111113,0.035222222222222224,1,acetate,2021-08-30,1,GC001,WT
WT,0.3766666666666669,0.03725925925925924,1,acetate,2021-08-30,1,GC001,WT
WT,0.5022222222222221,0.03925925925925923,1,acetate,2021-08-30,1,GC001,WT
WT,0.6277777777777778,0.04137037037037035,1,acetate,2021-08-30,1,GC001,WT
WT,0.7533333333333334,0.044222222222222204,1,acetate,2021-08-30,1,GC001,WT
WT,0.878888888888889,0.046185185185185176,1,acetate,2021-08-30,1,GC001,WT
WT,1.0044444444444447,0.04907407407407406,1,acetate,2021-08-30,1,GC001,WT
WT,1.1300000000000003,0.05325925925925924,1,acetate,2021-08-30,1,GC001,WT
WT,1.255555555555556,0.056222222222222215,1,acetate,2021-08-30,1,GC001,WT
WT,1.3811111111111107,0.060259259259259276,1,acetate,2021-08-30,1,GC001,WT
WT,1.5066666666666664,0.0641111111111111,1,acetate,2021-08-30,1,GC001,WT
WT,1.632222222222222,0.06914814814814814,1,acetate,2021-08-30,1,GC001,WT
WT,1.7577777777777777,0.07307407407407406,1,acetate,2021-08-30,1,GC001,WT
WT,1.8833333333333333,0.07903703703703703,1,acetate,2021-08-30,1,GC001,WT
WT,2.008888888888889,0.08407407407407406,1,acetate,2021-08-30,1,GC001,WT
WT,2.1344444444444446,0.09,1,acetate,2021-08-30,1,GC001,WT
WT,2.2600000000000002,0.09903703703703702,1,acetate,2021-08-30,1,GC001,WT
WT,2.385555555555556,0.10211111111111111,1,acetate,2021-08-30,1,GC001,WT
WT,2.5111111111111115,0.10903703703703703,1,acetate,2021-08-30,1,GC001,WT
WT,2.636666666666667,0.11607407407407407,1,acetate,2021-08-30,1,GC001,WT
WT,2.762222222222222,0.12303703703703704,1,acetate,2021-08-30,1,GC001,WT
WT,2.8877777777777776,0.13,1,acetate,2021-08-30,1,GC001,WT
WT,3.013333333333333,0.13807407407407407,1,acetate,2021-08-30,1,GC001,WT
WT,3.138888888888889,0.14611111111111108,1,acetate,2021-08-30,1,GC001,WT
WT,0.0,0.031222222222222207,2,acetate,2021-08-30,1,GC001,WT
WT,0.12555555555555564,0.033370370370370384,2,acetate,2021-08-30,1,GC001,WT
WT,0.2511111111111113,0.03422222222222222,2,acetate,2021-08-30,1,GC001,WT
WT,0.3766666666666669,0.03625925925925924,2,acetate,2021-08-30,1,GC001,WT
WT,0.5022222222222221,0.03825925925925923,2,acetate,2021-08-30,1,GC001,WT
WT,0.6277777777777778,0.04137037037037035,2,acetate,2021-08-30,1,GC001,WT
WT,0.7533333333333334,0.044222222222222204,2,acetate,2021-08-30,1,GC001,WT
WT,0.878888888888889,0.04818518518518518,2,acetate,2021-08-30,1,GC001,WT
WT,1.0044444444444447,0.05007407407407406,2,acetate,2021-08-30,1,GC001,WT
WT,1.1300000000000003,0.05225925925925924,2,acetate,2021-08-30,1,GC001,WT
WT,1.255555555555556,0.056222222222222215,2,acetate,2021-08-30,1,GC001,WT
WT,1.3811111111111107,0.059259259259259275,2,acetate,2021-08-30,1,GC001,WT
WT,1.5066666666666664,0.0641111111111111,2,acetate,2021-08-30,1,GC001,WT
WT,1.632222222222222,0.06814814814814814,2,acetate,2021-08-30,1,GC001,WT
WT,1.7577777777777777,0.07407407407407406,2,acetate,2021-08-30,1,GC001,WT
WT,1.8833333333333333,0.08003703703703703,2,acetate,2021-08-30,1,GC001,WT
WT,2.008888888888889,0.08507407407407407,2,acetate,2021-08-30,1,GC001,WT
WT,2.1344444444444446,0.091,2,acetate,2021-08-30,1,GC001,WT
WT,2.2600000000000002,0.09703703703703702,2,acetate,2021-08-30,1,GC001,WT
WT,2.385555555555556,0.10411111111111111,2,acetate,2021-08-30,1,GC001,WT
WT,2.5111111111111115,0.11103703703703703,2,acetate,2021-08-30,1,GC001,WT
WT,2.636666666666667,0.11707407407407407,2,acetate,2021-08-30,1,GC001,WT
WT,2.762222222222222,0.12403703703703702,2,acetate,2021-08-30,1,GC001,WT
WT,2.8877777777777776,0.132,2,acetate,2021-08-30,1,GC001,WT
WT,3.013333333333333,0.14007407407407407,2,acetate,2021-08-30,1,GC001,WT
WT,3.138888888888889,0.14711111111111108,2,acetate,2021-08-30,1,GC001,WT
WT,0.0,0.03037037037037038,3,acetate,2021-08-30,1,GC001,WT
WT,0.12555555555555564,0.03222222222222222,3,acetate,2021-08-30,1,GC001,WT
WT,0.2511111111111113,0.03425925925925924,3,acetate,2021-08-30,1,GC001,WT
WT,0.3766666666666665,0.03625925925925924,3,acetate,2021-08-30,1,GC001,WT
WT,0.5022222222222221,0.038370370370370346,3,acetate,2021-08-30,1,GC001,WT
WT,0.6277777777777778,0.0412222222222222,3,acetate,2021-08-30,1,GC001,WT
