strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.030777777777777765,2,proline,2021-09-01,2,GC001,WT
∆glt,0.0,0.025037037037037024,1,proline,2021-09-01,2,GC030,Single KO
∆glt,0.5022222222222221,0.025888888888888878,1,proline,2021-09-01,2,GC030,Single KO
∆glt,0.6277777777777778,0.02577777777777776,1,proline,2021-09-01,2,GC030,Single KO
∆glt,0.7533333333333334,0.02692592592592591,1,proline,2021-09-01,2,GC030,Single KO
∆glt,0.8788888888888888,0.026888888888888893,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.0044444444444445,0.027740740740740732,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.1300000000000001,0.028851851851851823,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.2555555555555555,0.02866666666666666,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.3811111111111112,0.029851851851851824,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.5066666666666668,0.029555555555555557,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.6322222222222222,0.02977777777777775,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.7577777777777779,0.029703703703703677,1,proline,2021-09-01,2,GC030,Single KO
∆glt,1.8833333333333335,0.029629629629629617,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.0088888888888885,0.029592592592592587,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.134444444444444,0.029814814814814794,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.26,0.029703703703703677,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.3855555555555554,0.029888888888888868,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.511111111111111,0.029703703703703677,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.6366666666666667,0.029703703703703677,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.762222222222222,0.030555555555555558,1,proline,2021-09-01,2,GC030,Single KO
∆glt,2.8877777777777776,0.03088888888888887,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.013333333333333,0.030629629629629618,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.138888888888889,0.030592592592592588,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.2644444444444445,0.030703703703703678,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.3899999999999997,0.03066666666666666,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.5155555555555553,0.030518518518518514,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.641111111111111,0.03148148148148147,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.7666666666666666,0.03159259259259259,1,proline,2021-09-01,2,GC030,Single KO
∆glt,3.8922222222222222,0.03162962962962962,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.017777777777778,0.03166666666666665,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.1433333333333335,0.03144444444444444,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.268888888888888,0.03255555555555556,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.394444444444444,0.03262962962962962,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.52,0.03244444444444444,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.645555555555555,0.0324074074074074,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.771111111111111,0.03344444444444444,1,proline,2021-09-01,2,GC030,Single KO
∆glt,4.8966666666666665,0.03348148148148147,1,proline,2021-09-01,2,GC030,Single KO
∆glt,5.022222222222222,0.033666666666666664,1,proline,2021-09-01,2,GC030,Single KO
