well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class
C3,0.089,GC001,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,WT,WT
C4,0.089,GC030,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆glt,Single KO
C5,0.084,GC052,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆nmp,Single KO
C6,0.089,GC055,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆mgl,Single KO
C7,0.089,GC049,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆pot,Single KO
C8,0.098,GC032,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆mal,Single KO
C9,0.087,GC053,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆opp,Single KO
C10,0.088,GC048,1,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆dpp,Single KO
D3,0.088,GC001,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,WT,WT
D4,0.089,GC030,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆glt,Single KO
D5,0.093,GC052,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆nmp,Single KO
D6,0.088,GC055,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆mgl,Single KO
D7,0.09,GC049,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆pot,Single KO
D8,0.1,GC032,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆mal,Single KO
D9,0.087,GC053,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆opp,Single KO
D10,0.087,GC048,2,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆dpp,Single KO
E3,0.088,GC001,3,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,WT,WT
E4,0.094,GC030,3,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆glt,Single KO
E5,0.084,GC052,3,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆nmp,Single KO
E6,0.089,GC055,3,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆mgl,Single KO
E7,0.088,GC049,3,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆pot,Single KO
E8,0.1,GC032,3,acetate-minus,2022-02-16,1,0.0,0.08137037037037037,∆mal,Single KO
