strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,identifier,class
WT,0.0,0.030925925925925912,1,glucose,2021-07-20,GC001,WT
WT,0.12555555555555564,0.034814814814814826,1,glucose,2021-07-20,GC001,WT
WT,0.2511111111111113,0.03896296296296296,1,glucose,2021-07-20,GC001,WT
WT,0.3766666666666669,0.043814814814814806,1,glucose,2021-07-20,GC001,WT
WT,0.5022222222222226,0.049888888888888885,1,glucose,2021-07-20,GC001,WT
WT,0.6277777777777778,0.05685185185185186,1,glucose,2021-07-20,GC001,WT
WT,0.7533333333333334,0.06496296296296294,1,glucose,2021-07-20,GC001,WT
WT,0.878888888888889,0.07492592592592591,1,glucose,2021-07-20,GC001,WT
WT,1.0044444444444447,0.08492592592592592,1,glucose,2021-07-20,GC001,WT
WT,1.1300000000000003,0.0949259259259259,1,glucose,2021-07-20,GC001,WT
WT,1.255555555555556,0.10785185185185185,1,glucose,2021-07-20,GC001,WT
WT,1.3811111111111116,0.12485185185185184,1,glucose,2021-07-20,GC001,WT
WT,1.5066666666666664,0.14381481481481484,1,glucose,2021-07-20,GC001,WT
WT,1.632222222222222,0.16399999999999998,1,glucose,2021-07-20,GC001,WT
WT,1.7577777777777777,0.189962962962963,1,glucose,2021-07-20,GC001,WT
WT,1.8833333333333333,0.21796296296296297,1,glucose,2021-07-20,GC001,WT
WT,2.008888888888889,0.24974074074074076,1,glucose,2021-07-20,GC001,WT
WT,2.1344444444444446,0.2869259259259259,1,glucose,2021-07-20,GC001,WT
WT,2.2600000000000002,0.3268888888888889,1,glucose,2021-07-20,GC001,WT
WT,0.0,0.03192592592592591,2,glucose,2021-07-20,GC001,WT
WT,0.12555555555555564,0.03581481481481483,2,glucose,2021-07-20,GC001,WT
WT,0.2511111111111113,0.039962962962962964,2,glucose,2021-07-20,GC001,WT
WT,0.3766666666666669,0.04481481481481481,2,glucose,2021-07-20,GC001,WT
WT,0.5022222222222226,0.050888888888888886,2,glucose,2021-07-20,GC001,WT
WT,0.6277777777777778,0.05685185185185186,2,glucose,2021-07-20,GC001,WT
WT,0.7533333333333334,0.06596296296296295,2,glucose,2021-07-20,GC001,WT
WT,0.878888888888889,0.07492592592592591,2,glucose,2021-07-20,GC001,WT
WT,1.0044444444444447,0.08192592592592592,2,glucose,2021-07-20,GC001,WT
WT,1.1300000000000003,0.0949259259259259,2,glucose,2021-07-20,GC001,WT
WT,1.255555555555556,0.10885185185185185,2,glucose,2021-07-20,GC001,WT
WT,1.3811111111111116,0.12485185185185184,2,glucose,2021-07-20,GC001,WT
WT,1.5066666666666664,0.14381481481481484,2,glucose,2021-07-20,GC001,WT
WT,1.632222222222222,0.16499999999999998,2,glucose,2021-07-20,GC001,WT
WT,1.7577777777777777,0.189962962962963,2,glucose,2021-07-20,GC001,WT
WT,1.8833333333333333,0.21796296296296297,2,glucose,2021-07-20,GC001,WT
WT,2.008888888888889,0.25074074074074076,2,glucose,2021-07-20,GC001,WT
WT,2.1344444444444446,0.2869259259259259,2,glucose,2021-07-20,GC001,WT
WT,2.2600000000000002,0.3268888888888889,2,glucose,2021-07-20,GC001,WT
WT,0.0,0.031814814814814824,3,glucose,2021-07-20,GC001,WT
WT,0.12555555555555564,0.035962962962962974,3,glucose,2021-07-20,GC001,WT
WT,0.2511111111111113,0.040814814814814804,3,glucose,2021-07-20,GC001,WT
WT,0.3766666666666669,0.04688888888888888,3,glucose,2021-07-20,GC001,WT
WT,0.5022222222222221,0.05385185185185186,3,glucose,2021-07-20,GC001,WT
WT,0.6277777777777778,0.06196296296296294,3,glucose,2021-07-20,GC001,WT
WT,0.7533333333333334,0.0709259259259259,3,glucose,2021-07-20,GC001,WT
WT,0.878888888888889,0.07992592592592591,3,glucose,2021-07-20,GC001,WT
WT,1.0044444444444447,0.09192592592592592,3,glucose,2021-07-20,GC001,WT
WT,1.1300000000000003,0.10485185185185185,3,glucose,2021-07-20,GC001,WT
WT,1.255555555555556,0.11985185185185186,3,glucose,2021-07-20,GC001,WT
WT,1.3811111111111107,0.13881481481481484,3,glucose,2021-07-20,GC001,WT
WT,1.5066666666666664,0.15899999999999997,3,glucose,2021-07-20,GC001,WT
WT,1.632222222222222,0.182962962962963,3,glucose,2021-07-20,GC001,WT
WT,1.7577777777777777,0.20996296296296296,3,glucose,2021-07-20,GC001,WT
WT,1.8833333333333333,0.24074074074074076,3,glucose,2021-07-20,GC001,WT
WT,2.008888888888889,0.2759259259259259,3,glucose,2021-07-20,GC001,WT
WT,2.1344444444444446,0.3138888888888889,3,glucose,2021-07-20,GC001,WT
∆dpp,0.0,0.03274074074074074,1,glucose,2021-07-20,GC048,Single KO
∆dpp,0.12555555555555564,0.037000000000000005,1,glucose,2021-07-20,GC048,Single KO
∆dpp,0.2511111111111113,0.041814814814814805,1,glucose,2021-07-20,GC048,Single KO
∆dpp,0.3766666666666669,0.04688888888888888,1,glucose,2021-07-20,GC048,Single KO
∆dpp,0.5022222222222226,0.05388888888888889,1,glucose,2021-07-20,GC048,Single KO
∆dpp,0.6277777777777778,0.0619259259259259,1,glucose,2021-07-20,GC048,Single KO
∆dpp,0.7533333333333334,0.07281481481481482,1,glucose,2021-07-20,GC048,Single KO
∆dpp,0.878888888888889,0.08396296296296298,1,glucose,2021-07-20,GC048,Single KO
∆dpp,1.0044444444444447,0.0928148148148148,1,glucose,2021-07-20,GC048,Single KO
∆dpp,1.1300000000000003,0.10888888888888888,1,glucose,2021-07-20,GC048,Single KO
∆dpp,1.2555555555555555,0.12185185185185186,1,glucose,2021-07-20,GC048,Single KO
∆dpp,1.3811111111111112,0.14196296296296296,1,glucose,2021-07-20,GC048,Single KO
∆dpp,1.5066666666666668,0.16492592592592592,1,glucose,2021-07-20,GC048,Single KO
