well,od_600nm,identifier,replicate,growth_medium,date,elapsed_time_hr,avg_blank_value,strain,class
C3,0.099,GC030,1,glucose,2021-07-21,0.0,0.07896296296296296,∆glt,Single KO
C4,0.091,GC029,1,glucose,2021-07-21,0.0,0.07896296296296296,∆flh,Single KO
C5,0.109,GC050,1,glucose,2021-07-21,0.0,0.07896296296296296,∆rbs,Single KO
C6,0.099,GC048,1,glucose,2021-07-21,0.0,0.07896296296296296,∆dpp,Single KO
C7,0.084,GC053,1,glucose,2021-07-21,0.0,0.07896296296296296,∆opp,Single KO
C8,0.1,GC032,1,glucose,2021-07-21,0.0,0.07896296296296296,∆mal,Single KO
C9,0.097,GC049,1,glucose,2021-07-21,0.0,0.07896296296296296,∆pot,Single KO
C10,0.101,GC052,1,glucose,2021-07-21,0.0,0.07896296296296296,∆nmp,Single KO
D3,0.099,GC030,2,glucose,2021-07-21,0.0,0.07896296296296296,∆glt,Single KO
D4,0.089,GC029,2,glucose,2021-07-21,0.0,0.07896296296296296,∆flh,Single KO
D5,0.108,GC050,2,glucose,2021-07-21,0.0,0.07896296296296296,∆rbs,Single KO
D6,0.1,GC048,2,glucose,2021-07-21,0.0,0.07896296296296296,∆dpp,Single KO
D7,0.084,GC053,2,glucose,2021-07-21,0.0,0.07896296296296296,∆opp,Single KO
D8,0.099,GC032,2,glucose,2021-07-21,0.0,0.07896296296296296,∆mal,Single KO
D9,0.096,GC049,2,glucose,2021-07-21,0.0,0.07896296296296296,∆pot,Single KO
D10,0.1,GC052,2,glucose,2021-07-21,0.0,0.07896296296296296,∆nmp,Single KO
E3,0.097,GC030,3,glucose,2021-07-21,0.0,0.07896296296296296,∆glt,Single KO
E4,0.089,GC029,3,glucose,2021-07-21,0.0,0.07896296296296296,∆flh,Single KO
E5,0.108,GC050,3,glucose,2021-07-21,0.0,0.07896296296296296,∆rbs,Single KO
E6,0.099,GC048,3,glucose,2021-07-21,0.0,0.07896296296296296,∆dpp,Single KO
E7,0.085,GC053,3,glucose,2021-07-21,0.0,0.07896296296296296,∆opp,Single KO
E8,0.101,GC032,3,glucose,2021-07-21,0.0,0.07896296296296296,∆mal,Single KO
E9,0.096,GC049,3,glucose,2021-07-21,0.0,0.07896296296296296,∆pot,Single KO
E10,0.101,GC052,3,glucose,2021-07-21,0.0,0.07896296296296296,∆nmp,Single KO
F3,0.095,GC055,1,glucose,2021-07-21,0.0,0.07896296296296296,∆mgl,Single KO
